madb_1_title,madb_1_ruby,madb_2_title,madb_2_ruby,animedb_title,animedb_ruby,madb_id,madb_uri
のんきなとうさん 山崎街道・定九郎とサツマイモの巻,ノンキナトウサン ヤマサキカイドウ　サダクロウトサツマイモノマキ,のんきなとうさん 山崎街道・定九郎とサツマイモの巻,ノンキナトウサン ヤマサキカイドウ　サダクロウトサツマイモノマキ,のんきなとうさん 山崎街道・定九郎とサツマイモの巻,ノンキナトウサン ヤマサキカイドウ サダクロウトサツマイモノマキ,ANS002006700,http://mediaarts-db.jp/an/anime_series/16424
夢の凸坊 （凸坊の夢物語）,ユメノトツボウ　（トツボウノユメモノガタリ）,夢の凸坊 （凸坊の夢物語）,ユメノトツボウ　（トツボウノユメモノガタリ）,夢の凸坊 （凸坊の夢物語）,ユメノトツボウ トツボウノユメモノガタリ,ANS002015100,http://mediaarts-db.jp/an/anime_series/16578
公衆衛生を守れ,コウシュウエイセイヲマモレ,公衆衛生を守れ,コウシュウエイセイヲマモレ,公衆衛生を守れ,コウシュウエイセイヲマモレ,ANS002015300,http://mediaarts-db.jp/an/anime_series/16582
松ちゃんの剛勇,マツチャンノゴウユウ,松ちゃんの剛勇,マツチャンノゴウユウ,松ちゃんの剛勇,マツチャンノゴウユウ,ANS002014700,http://mediaarts-db.jp/an/anime_series/16572
そのつもりで,ソノツモリデ,そのつもりで,ソノツモリデ,そのつもりで,ソノツモリデ,ANS002015200,http://mediaarts-db.jp/an/anime_series/16580
つばめの報恩,ツバメノホウオン,つばめの報恩,ツバメノホウオン,つばめの報恩,ツバメノホウオン,ANS002015400,http://mediaarts-db.jp/an/anime_series/16584
新カチカチ山,シンカチカチヤマ,新カチカチ山,シンカチカチヤマ,新カチカチ山,シンカチカチヤマ,ANS002014900,http://mediaarts-db.jp/an/anime_series/16576
病毒の伝播,ビョウドクノデンパ,病毒の伝播,ビョウドクノデンパ,病毒の伝播,ビョウドクノデンパ,ANS002010700,http://mediaarts-db.jp/an/anime_series/16494
曽我夜討,ソガヨウチ,曽我夜討,ソガヨウチ,曽我夜討,ソガヨウチ,ANS002014600,http://mediaarts-db.jp/an/anime_series/16570
忠臣蔵,チュウシングラ,忠臣蔵,チュウシングラ,忠臣蔵,チュウシングラ,ANS002014800,http://mediaarts-db.jp/an/anime_series/16574
みかん船,ミカンブネ,みかん船,ミカンブネ,みかん船,ミカンブネ,ANS000003300,http://mediaarts-db.jp/an/anime_series/45
猿蟹合戦,サルカニガッセン,猿蟹合戦,サルカニガッセン,猿蟹合戦,サルカニガッセン,ANS002015500,http://mediaarts-db.jp/an/anime_series/16586
猿蟹合戦,サルカニガッセン,,,猿蟹合戦,サルカニガッセン,ANS002008400,http://mediaarts-db.jp/an/anime_series/16452
蛸の骨,タコノホネ,蛸の骨,タコノホネ,蛸の骨,タコノホネ,ANS000692600,http://mediaarts-db.jp/an/anime_series/12020
鯨,クジラ,鯨,クジラ,鯨,クジラ,ANS000692700,http://mediaarts-db.jp/an/anime_series/12022
映画演説 政治の倫理化 後藤新平 1926,エイガエンゼツ セイジノリンリカ ゴトウシンペイ 1926,映画演説 政治の倫理化 後藤新平 1926,エイガエンゼツ セイジノリンリカ ゴトウシンペイ 1926,映画演説 政治の倫理化 後藤新平 1926,エイガエンゼツ セイジノリンリカ ゴトウシンペイ センキュウキャクニジュウロク,ANS002008300,http://mediaarts-db.jp/an/anime_series/16450
弥次喜多・地獄極楽,ヤジキタ・ジゴクゴクラク,弥次喜多・地獄極楽,ヤジキタ・ジゴクゴクラク,弥次喜多・地獄極楽,ヤジキタ ジゴクゴクラク,ANS002016300,http://mediaarts-db.jp/an/anime_series/16602
福の神と貧乏神,フクノカミトビンボウガミ,福の神と貧乏神,フクノカミトビンボウガミ,福の神と貧乏神,フクノカミトビンボウガミ,ANS002015800,http://mediaarts-db.jp/an/anime_series/16592
新・塩原多助,シン・シオバラタスケ,新・塩原多助,シン・シオバラタスケ,新・塩原多助,シン シオバラタスケ,ANS002015700,http://mediaarts-db.jp/an/anime_series/16590
